img_id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
38585,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Women Black T-shirt
5702,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015.0,Casual,Skechers Men s Torino Black Shoe
22836,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Woodland Men Brown Casual Shoes
17381,Men,Accessories,Mufflers,Mufflers,Navy Blue,Fall,2011.0,Casual,Reid & Taylor Men Check Navy Blue Muffler
57488,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Formal,Lee Cooper Men Black  Shoes
16339,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,Peter England Men Stripes Maroon Shirt
26530,Men,Footwear,Shoes,Casual Shoes,Purple,Spring,2013.0,Casual,Gas Men Aishley Greyish Purple Casual Shoes
56172,Women,Personal Care,Makeup,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Colorbar Color Intense Blue Lagoon Liquid Eye Liner 007
48966,Men,Accessories,Jewellery,Ring,Steel,Summer,2012.0,Casual,Revv Men Steel Ring
19257,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Guess Men Focus Steel Watch
51631,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,FOSSIL Women Silver-Toned Dial Watch ES2880
54945,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012.0,Casual,Do u speak green Men Cream T-Shirt
50642,Men,Apparel,Innerwear,Innerwear Vests,Red,Winter,2016.0,Casual,Chromozome Men Red Innerwear Vest
11884,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2015.0,Formal,Franco Leone Men Black Formal Shoes
20092,Women,Apparel,Topwear,Kurtis,Blue,Fall,2011.0,Ethnic,Diva Women Printed Blue Kurti
37522,Boys,Apparel,Bottomwear,Shorts,White,Summer,2012.0,Casual,Madagascar3 Infant Boys White Shorts
52235,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Pepe Jeans Men Dark Blue Jeans
7514,Women,Apparel,Bottomwear,Capris,Purple,Summer,2011.0,Sports,Nike Women Be Fast Purple Capri
7441,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Proline Men Grey Striped T-shirt
2278,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens Sphere White T-shirt
28428,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,DKNY Women White Dial Chronograph Watch NY8431
44397,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Summer,2012.0,Sports,Force 10 Men Navy Blue Sports Shoes
6363,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2011.0,Casual,Numero Uno Men s Red Shoe
15305,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,ADIDAS Men Aerostar White Sports Shoes
34000,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Femella Women Black Top
4418,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Wrangler Men s Multicolor Striper Grey Melange T-shirt
36209,Boys,Apparel,Topwear,Jackets,Grey,Summer,2012.0,Casual,Gini Jony Boys Grey Jacket
7188,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Jealous 21 Women Supper Skinny Zipped Medium Blue Jeans
44375,Women,Apparel,Topwear,Waistcoat,Blue,Summer,2012.0,Casual,ONLY Women Blue Waistcoat
6800,Unisex,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Converse Unisex Canvas White Shoe
46710,Women,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,Rasasi Women Gorgeous Perfume
1872,Men,Apparel,Topwear,Tshirts,White,Winter,2010.0,Casual,FIFA Mens 1962 World Cup White T-shirt
42522,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Mother Earth Women Green Kurta
28023,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Jockey ELANCE Men Red Pack of 2 Briefs 1004
8373,Men,Accessories,Bags,Backpacks,Navy Blue,Winter,2016.0,Casual,Fastrack Men Navy Blue Backpack
23448,Women,Apparel,Topwear,Tunics,Multi,Fall,2011.0,Casual,Satya Paul Women Multi Coloured Printed Tunic
19997,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,United Colors Of Benetton Men White T-shirt
42931,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,French Connection Men Black Wallet
41670,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Catwalk Women Golden Heels
55179,Women,Personal Care,Nails,Nail Polish,Pink,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Fuschia Pink Nail Polish 18
29115,Men,Accessories,Socks,Socks,White,Summer,2012.0,Casual,Puma Men Foundation Quarters White Socks
5924,Men,Footwear,Shoes,Casual Shoes,Green,Summer,2011.0,Casual,ADIDAS Men s Derby Fresh Green Shoe
19983,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Blue Striped T-shirt
12075,Women,Apparel,Topwear,Kurtas,Cream,Fall,2011.0,Ethnic,W Women Printed Cream Kurtas
55632,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Flats
5349,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Artengo 522 C Men Whit Blue 09
34199,Men,Apparel,Bottomwear,Track Pants,Charcoal,Summer,2012.0,Casual,Proline Men Charcoal Grey Track Pants
32460,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Sports,ADIDAS Men Blue T-shirt
4210,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Disney Kids Boy s Blue Mickey Mouse Kidswear
56324,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch
38050,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Digital Watch M119J003Y
34921,Women,Apparel,Topwear,Dupatta,Green,Summer,2012.0,Ethnic,Fabindia Green Dupatta
25900,Women,Apparel,Bottomwear,Leggings,Teal,Summer,2012.0,Casual,Femella Women Teal Skinny Leggings
40656,Women,Apparel,Topwear,Kurtas,Magenta,Summer,2012.0,Ethnic,Span Women Magenta Kurta
45999,Women,Apparel,Saree,Sarees,Green,Summer,2012.0,Ethnic,Fabindia Green Self-Striped Saree
10126,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men Runtone Action White Sports Shoes
17633,Unisex,Accessories,Bags,Backpacks,Blue,Fall,2011.0,Casual,Puma Unisex Apex Blue Backpack
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women s Pink T-shirt
28590,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Peter England Men Leather Black Belt
47734,Women,Accessories,Bags,Handbags,Grey,Fall,2012.0,Casual,Murcia Women Grey Handbag
45315,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Van Heusen Men Black & Brown Reversible Belt
34601,Men,Apparel,Innerwear,Briefs,Brown,Summer,2016.0,Casual,Hanes Men Brown Boxer Brief
30478,Women,Apparel,Innerwear,Bra,White,Summer,2015.0,Casual,Lovable Women Encircle White Bra
39903,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Ranger Sports Shoes
11712,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Lee Men Solid Blue Shirts
10493,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Women VN White Tshirts
4910,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl s Dionne Pink Teens Kidswear
43794,Women,Accessories,Jewellery,Earrings,Green,Summer,2012.0,Ethnic,Royal Diadem Gold & Green Earrings
39712,Unisex,Accessories,Watches,Watches,White,Winter,2016.0,Casual,ADIDAS Originals Unisex Black Dial Watch ADH2647
58239,Women,Accessories,Wallets,Wallets,Olive,Summer,2012.0,Casual,Baggit Women Olive Wallet
7127,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Urban Yoga Men s Orange T-shirt
2622,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Mens Bleed Blue Team India T-shirt
28188,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Ray-Ban Men Aviator Gold Sunglasses
21470,Women,Footwear,Flip Flops,Flip Flops,Grey,Summer,2012.0,Casual,Roxy Women Bamboo Grey Flip Flops
7643,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Puma Men s Ducati Logo Red T-shirt
24742,Women,Accessories,Bags,Handbags,Green,Winter,2015.0,Casual,Murcia Women Casual Handbag
20274,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women Casual White Flats
59090,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Peri Peri Women Black Bra
30358,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Rodeo Off White T-shirt
28168,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Ray-Ban Men Aviator Gold Sunglasses
26906,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Jealous 21 Women  Pink Top
4209,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy s Green Mickey On Skates Kidswear
49071,Women,Personal Care,Nails,Nail Polish,Orange,Spring,2017.0,,Deborah Orange 7 Days Long Nail Polish 835
1856,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Inkfruit Men Rebel Without a Clue T-shirt
22851,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Woodland Men Khaki Casual Shoes
48975,Women,Accessories,Jewellery,Ring,Silver,Fall,2012.0,Casual,Lucera Women Silver Ring
25533,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Wrangler Men American Flag Blue Shirt
14343,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Women Downshifter 4 MSL Purple Sports Shoes
59230,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Titan Men Black Watch
25703,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mumbai Slang Women Printed Green Top
28660,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Nike Men Lunareclipse Black Sports Shoes
59660,Women,Apparel,Saree,Sarees,Purple,Fall,2012.0,Ethnic,FNF Pink & Purple Evening Wear Sari
54384,Women,Accessories,Bags,Handbags,Olive,Fall,2012.0,Casual,Baggit Women Olive Green Handbag
25698,Women,Apparel,Topwear,Tops,Brown,Summer,2012.0,Casual,Mumbai Slang Women Printed Brown Top
11883,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Franco Leone Men Formal Black Formal Shoes
6112,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,UCB Men s Benetton Logo Navy T-shirt
25619,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Casual Watch
55787,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Summer,2017.0,Casual,SDL by Sweet Dreams Women Pink Nightdress
9372,Unisex,Accessories,Socks,Socks,Blue,Fall,2011.0,Casual,Puma Unisex ABS Blue Socks
11409,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,United Colors of Benetton Men Light Winter Red Tshirts
57818,Women,Apparel,Topwear,Tops,Mustard,Fall,2012.0,Casual,United Colors of Benetton Women Mustard Top
58218,Women,Apparel,Bottomwear,Patiala,Multi,Summer,2012.0,Ethnic,Shree Women Multi Coloured Patiala
56549,Women,Personal Care,Lips,Lip Liner,Brown,Spring,2017.0,Casual,Streetwear Stay On Longwear Garnet Lip Liner 04
14703,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Formal,Genesis Men Stripes Grey Shirts
59410,Women,Apparel,Topwear,Tshirts,White,Fall,2012.0,Casual,Tokyo Talkies Women Multi Coloured T-shirt
34902,Women,Apparel,Topwear,Dupatta,Beige,Summer,2012.0,Ethnic,Fabindia Beige Kota Dupatta
9947,Men,Apparel,Topwear,Jackets,Blue,Fall,2011.0,Sports,ADIDAS Men Torment Blue Jackets
14312,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Sports,ADIDAS Men Solid Green Jerseys
4774,Women,Apparel,Bottomwear,Track Pants,Pink,Summer,2011.0,Sports,ADIDAS Women 3S Pink Track Pants
11005,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Puma Men Visor 3HD Black Watch
8434,Women,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Jealous 21 Women Jealous Eara Red Top Red T-shirt
14595,Women,Apparel,Bottomwear,Stockings,Grey,Summer,2011.0,Casual,United Colors of Benetton Women Solid Grey Stockings
8762,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Sports,Puma Women s Essential Workout Black Track Pant
46569,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Timex Intelligent Quartz Men Black Dial Watch T49859
30938,Women,Apparel,Topwear,Kurtis,Red,Summer,2012.0,Ethnic,Fabindia Women Printed Red & Black Kurti
14713,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Formal,Genesis Men Solid Brown Trousers
5627,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2011.0,Casual,ADIDAS Men s Adi Jumble Blue Flip Flop
53747,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Casual,ADIDAS Men Black Track Pant
59572,Men,Accessories,Cufflinks,Cufflinks,Steel,Summer,2012.0,Casual,Revv Men Steel Cufflinks
25076,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set
11644,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Puma Men Indication Chrono Black Watch
35378,Women,Footwear,Shoes,Heels,Green,Summer,2012.0,Casual,Senorita Women Green Flats
18197,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2011.0,Casual,Highlander Men Solid Navy Blue Trouser
22710,Women,Footwear,Shoes,Sports Shoes,Purple,Fall,2011.0,Sports,Nike Women Purple Lunarlite +2 Sports Shoes
42534,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Mother Earth Women Black Kurta
33131,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Heels
46877,Men,Accessories,Socks,Socks,Beige,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks
17820,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,Lee Cooper Men  Brown Sandal
35239,Men,Accessories,Socks,Socks,Black,Summer,2012.0,Casual,Manchester United Men Black Socks
9820,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Little Miss Women Printed Dark Grey T-shirt
13434,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,United Colors of Benetton Men Solid Yellow Tshirts
13343,Boys,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,Gini and Jony Boys Black Cargo Shorts
37253,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,United Colors of Benetton Men Blue Shoes
39375,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Helix Women Silver Dial Watch
6206,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Lee Men s Palm Pink T-shirt
19601,Women,Apparel,Topwear,Tops,Peach,Fall,2011.0,Casual,United Colors of Benetton Women Printed Peach Top
21806,Men,Accessories,Wallets,Wallets,Brown,Winter,2016.0,Casual,Fossil Men Walter Traveller Brown Wallet
13546,Women,Footwear,Shoes,Flats,Gold,Spring,2013.0,Casual,Carlton London Women Gold Toned Flats
2965,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Puma Men s Excurse White Spectrum Blue Shoe
42202,Women,Apparel,Topwear,Tops,Mustard,Summer,2012.0,Casual,Sepia Women Mustard Top
23094,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Converse Men Slim Smart Black Casual Shoes
